rpm,real_w,speed,target_current,real_pos,pos,I6,I7
-0.205239,0.087062,9.834400,0.003338,0.000850,-0.024485,0.000000,0.000000
-0.205461,0.086853,9.834635,0.000142,-0.008737,0.011734,0.000000,0.000000
-0.205593,0.086773,9.834847,0.007599,-0.006607,-0.001049,0.000000,0.000000
-0.205623,0.086777,9.835052,0.002273,0.022156,-0.004245,0.000000,0.000000
-0.205661,0.086800,9.835204,0.009729,0.005111,0.006408,0.000000,0.000000
-0.205589,0.086799,9.835450,0.004403,0.018960,0.004277,0.000000,0.000000
-0.205519,0.086856,9.835520,0.000142,-0.015129,-0.017028,0.000000,0.000000
-0.205414,0.086944,9.835523,0.007599,-0.003411,-0.002114,0.000000,0.000000
-0.205277,0.087124,9.835464,0.000142,-0.018324,-0.010636,0.000000,0.000000
-0.205152,0.087286,9.835413,0.009729,0.008307,-0.002114,0.000000,0.000000
-0.205168,0.087480,9.835383,0.007599,0.001916,-0.009571,0.000000,0.000000
-0.205039,0.087621,9.835340,-0.010511,0.006177,0.024517,0.000000,0.000000
-0.205006,0.087802,9.835227,0.012925,0.022156,0.005343,0.000000,0.000000
-0.204978,0.087854,9.835112,0.000142,-0.002346,0.001081,0.000000,0.000000
-0.205035,0.087891,9.835089,-0.013706,-0.005541,-0.010636,0.000000,0.000000
-0.205036,0.087962,9.835106,0.005468,0.014699,-0.003180,0.000000,0.000000
-0.205053,0.088108,9.835018,0.005468,-0.003411,-0.015963,0.000000,0.000000
-0.205047,0.088336,9.834932,0.001207,-0.001280,-0.020224,0.000000,0.000000
-0.204973,0.088589,9.834850,-0.004119,-0.010868,-0.025550,0.000000,0.000000
-0.204829,0.088794,9.834684,0.020382,0.005111,-0.007441,0.000000,0.000000
-0.204655,0.088966,9.834491,0.013991,-0.011933,0.026648,0.000000,0.000000
-0.204494,0.089120,9.834229,-0.000923,0.002981,-0.004245,0.000000,0.000000
-0.204243,0.089156,9.834036,-0.009445,0.002981,0.009604,0.000000,0.000000
-0.204044,0.089237,9.833759,0.025708,0.006177,0.008538,0.000000,0.000000
-0.203867,0.089338,9.833506,0.009729,-0.000215,0.008538,0.000000,0.000000
